areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
nation,England,E92000001,2022-06-11,8468,18856251,7043,17839437,1425.0,1016814.0
nation,England,E92000001,2022-06-10,9154,18847783,7639,17832394,1515.0,1015389.0
nation,England,E92000001,2022-06-09,9589,18838629,7902,17824755,1687.0,1013874.0
nation,England,E92000001,2022-06-08,9952,18829040,8184,17816853,1768.0,1012187.0
nation,England,E92000001,2022-06-07,9484,18819088,7813,17808669,1671.0,1010419.0
nation,England,E92000001,2022-06-06,9799,18809604,8049,17800856,1750.0,1008748.0
nation,England,E92000001,2022-06-05,8351,18799805,6942,17792807,1409.0,1006998.0
nation,England,E92000001,2022-06-04,6278,18791454,5358,17785865,920.0,1005589.0
nation,England,E92000001,2022-06-03,5582,18785176,4791,17780507,791.0,1004669.0
nation,England,E92000001,2022-06-02,5081,18779594,4334,17775716,747.0,1003878.0
nation,England,E92000001,2022-06-01,5713,18774513,4956,17771382,757.0,1003131.0
nation,England,E92000001,2022-05-31,5734,18768800,4904,17766426,830.0,1002374.0
nation,England,E92000001,2022-05-30,5928,18763066,5041,17761522,887.0,1001544.0
nation,England,E92000001,2022-05-29,4687,18757138,3996,17756481,691.0,1000657.0
nation,England,E92000001,2022-05-28,4153,18752451,3561,17752485,592.0,999966.0
nation,England,E92000001,2022-05-27,4495,18748298,3828,17748924,667.0,999374.0
nation,England,E92000001,2022-05-26,4819,18743803,4001,17745096,818.0,998707.0
nation,England,E92000001,2022-05-25,5191,18738984,4306,17741095,885.0,997889.0
nation,England,E92000001,2022-05-24,5593,18733793,4648,17736789,945.0,997004.0
nation,England,E92000001,2022-05-23,6248,18728200,5124,17732141,1124.0,996059.0
nation,England,E92000001,2022-05-22,5151,18721952,4345,17727017,806.0,994935.0
nation,England,E92000001,2022-05-21,4243,18716801,3589,17722672,654.0,994129.0
nation,England,E92000001,2022-05-20,5049,18712558,4240,17719083,809.0,993475.0
nation,England,E92000001,2022-05-19,5785,18707509,4733,17714843,1052.0,992666.0
nation,England,E92000001,2022-05-18,6391,18701724,5316,17710110,1075.0,991614.0
nation,England,E92000001,2022-05-17,6833,18695333,5678,17704794,1155.0,990539.0
nation,England,E92000001,2022-05-16,7886,18688500,6455,17699116,1431.0,989384.0
nation,England,E92000001,2022-05-15,6730,18680614,5637,17692661,1093.0,987953.0
nation,England,E92000001,2022-05-14,5139,18673884,4312,17687024,827.0,986860.0
nation,England,E92000001,2022-05-13,5794,18668745,4906,17682712,888.0,986033.0
nation,England,E92000001,2022-05-12,6376,18662951,5342,17677806,1034.0,985145.0
nation,England,E92000001,2022-05-11,7265,18656575,6065,17672464,1200.0,984111.0
nation,England,E92000001,2022-05-10,8155,18649310,6775,17666399,1380.0,982911.0
nation,England,E92000001,2022-05-09,8878,18641155,7334,17659624,1544.0,981531.0
nation,England,E92000001,2022-05-08,7664,18632277,6417,17652290,1247.0,979987.0
nation,England,E92000001,2022-05-07,6356,18624613,5448,17645873,908.0,978740.0
nation,England,E92000001,2022-05-06,7518,18618257,6374,17640425,1144.0,977832.0
nation,England,E92000001,2022-05-05,8594,18610739,7217,17634051,1377.0,976688.0
nation,England,E92000001,2022-05-04,9783,18602145,8242,17626834,1541.0,975311.0
nation,England,E92000001,2022-05-03,11156,18592362,9308,17618592,1848.0,973770.0
nation,England,E92000001,2022-05-02,10343,18581206,8744,17609284,1599.0,971922.0
nation,England,E92000001,2022-05-01,7718,18570863,6638,17600540,1080.0,970323.0
nation,England,E92000001,2022-04-30,6863,18563145,5944,17593902,919.0,969243.0
nation,England,E92000001,2022-04-29,7992,18556282,6860,17587958,1132.0,968324.0
nation,England,E92000001,2022-04-28,9057,18548290,7721,17581098,1336.0,967192.0
nation,England,E92000001,2022-04-27,10120,18539233,8630,17573377,1490.0,965856.0
nation,England,E92000001,2022-04-26,11294,18529113,9635,17564747,1659.0,964366.0
nation,England,E92000001,2022-04-25,13401,18517819,11283,17555112,2118.0,962707.0
nation,England,E92000001,2022-04-24,11867,18504418,10248,17543829,1619.0,960589.0
nation,England,E92000001,2022-04-23,10572,18492551,9263,17533581,1309.0,958970.0
nation,England,E92000001,2022-04-22,12528,18481979,10856,17524318,1672.0,957661.0
nation,England,E92000001,2022-04-21,14520,18469451,12571,17513462,1949.0,955989.0
nation,England,E92000001,2022-04-20,16973,18454931,14772,17500891,2201.0,954040.0
nation,England,E92000001,2022-04-19,20595,18437958,17778,17486119,2817.0,951839.0
nation,England,E92000001,2022-04-18,20567,18417363,17874,17468341,2693.0,949022.0
nation,England,E92000001,2022-04-17,16262,18396796,14390,17450467,1872.0,946329.0
nation,England,E92000001,2022-04-16,16091,18380534,14362,17436077,1729.0,944457.0
nation,England,E92000001,2022-04-15,17305,18364443,15381,17421715,1924.0,942728.0
nation,England,E92000001,2022-04-14,21434,18347138,18974,17406334,2460.0,940804.0
nation,England,E92000001,2022-04-13,25507,18325704,22618,17387360,2889.0,938344.0
nation,England,E92000001,2022-04-12,27383,18300197,24179,17364742,3204.0,935455.0
nation,England,E92000001,2022-04-11,30598,18272814,26942,17340563,3656.0,932251.0
nation,England,E92000001,2022-04-10,25641,18242216,22870,17313621,2771.0,928595.0
nation,England,E92000001,2022-04-09,23015,18216575,20509,17290751,2506.0,925824.0
nation,England,E92000001,2022-04-08,27393,18193560,24310,17270242,3083.0,923318.0
nation,England,E92000001,2022-04-07,31746,18166167,27980,17245932,3766.0,920235.0
nation,England,E92000001,2022-04-06,36891,18134421,32602,17217952,4289.0,916469.0
nation,England,E92000001,2022-04-05,40393,18097530,35749,17185350,4644.0,912180.0
nation,England,E92000001,2022-04-04,45142,18057137,39810,17149601,5332.0,907536.0
nation,England,E92000001,2022-04-03,35605,18011995,31744,17109791,3861.0,902204.0
nation,England,E92000001,2022-04-02,31610,17976390,28262,17078047,3348.0,898343.0
nation,England,E92000001,2022-04-01,40343,17944780,35906,17049785,4437.0,894995.0
nation,England,E92000001,2022-03-31,45882,17904437,40710,17013879,5172.0,890558.0
nation,England,E92000001,2022-03-30,62750,17858555,55347,16973169,7403.0,885386.0
nation,England,E92000001,2022-03-29,67440,17795805,59378,16917822,8062.0,877983.0
nation,England,E92000001,2022-03-28,78912,17728365,69237,16858444,9675.0,869921.0
nation,England,E92000001,2022-03-27,58001,17649453,51350,16789207,6651.0,860246.0
nation,England,E92000001,2022-03-26,51778,17591452,46260,16737857,5518.0,853595.0
nation,England,E92000001,2022-03-25,60259,17539674,53552,16691597,6707.0,848077.0
nation,England,E92000001,2022-03-24,68604,17479415,60941,16638045,7663.0,841370.0
nation,England,E92000001,2022-03-23,77598,17410811,68845,16577104,8753.0,833707.0
nation,England,E92000001,2022-03-22,81847,17333213,72559,16508259,9288.0,824954.0
nation,England,E92000001,2022-03-21,89909,17251366,79361,16435700,10548.0,815666.0
nation,England,E92000001,2022-03-20,66905,17161457,59478,16356339,7427.0,805118.0
nation,England,E92000001,2022-03-19,55212,17094552,49583,16296861,5629.0,797691.0
nation,England,E92000001,2022-03-18,61907,17039340,55421,16247278,6486.0,792062.0
nation,England,E92000001,2022-03-17,67686,16977433,60471,16191857,7215.0,785576.0
nation,England,E92000001,2022-03-16,73954,16909747,66033,16131386,7921.0,778361.0
nation,England,E92000001,2022-03-15,74103,16835793,66270,16065353,7833.0,770440.0
nation,England,E92000001,2022-03-14,79518,16761690,70931,15999083,8587.0,762607.0
nation,England,E92000001,2022-03-13,60271,16682172,53987,15928152,6284.0,754020.0
nation,England,E92000001,2022-03-12,49163,16621901,44267,15874165,4896.0,747736.0
nation,England,E92000001,2022-03-11,52272,16572738,47066,15829898,5206.0,742840.0
nation,England,E92000001,2022-03-10,54300,16520466,48776,15782832,5524.0,737634.0
nation,England,E92000001,2022-03-09,55492,16466166,49875,15734056,5617.0,732110.0
nation,England,E92000001,2022-03-08,52343,16410674,47058,15684181,5285.0,726493.0
nation,England,E92000001,2022-03-07,50983,16358331,45549,15637123,5434.0,721208.0
nation,England,E92000001,2022-03-06,35914,16307348,32402,15591574,3512.0,715774.0
nation,England,E92000001,2022-03-05,28508,16271434,25911,15559172,2597.0,712262.0
nation,England,E92000001,2022-03-04,30605,16242926,27716,15533261,2889.0,709665.0
nation,England,E92000001,2022-03-03,31533,16212321,28490,15505545,3043.0,706776.0
nation,England,E92000001,2022-03-02,33362,16180788,30087,15477055,3275.0,703733.0
nation,England,E92000001,2022-03-01,31863,16147426,28987,15446968,2876.0,700458.0
nation,England,E92000001,2022-02-28,31865,16115563,28815,15417981,3050.0,697582.0
nation,England,E92000001,2022-02-27,22165,16083698,20134,15389166,2031.0,694532.0
nation,England,E92000001,2022-02-26,17603,16061533,16126,15369032,1477.0,692501.0
nation,England,E92000001,2022-02-25,19532,16043930,17766,15352906,1766.0,691024.0
nation,England,E92000001,2022-02-24,21883,16024398,19801,15335140,2082.0,689258.0
nation,England,E92000001,2022-02-23,26008,16002515,23618,15315339,2390.0,687176.0
nation,England,E92000001,2022-02-22,28017,15976507,25328,15291721,2689.0,684786.0
nation,England,E92000001,2022-02-21,33034,15948490,29914,15266393,3120.0,682097.0
nation,England,E92000001,2022-02-20,28410,15915456,25903,15236479,2507.0,678977.0
